dates 	IGWDAll 	IGUSDAll 	IGGBPAll 	IGEURAll 	IGShortUSDAll 	IGShortGBPAll 	IGShortEURAll 	HYWDAll 	HYUSDAll 	HYEURAll
03-Jan-1997 	-0.000090 	-0.000110 	0.000270 	NaN 	NaN 	NaN 	NaN 	NaN 	0.001550 	NaN
10-Jan-1997 	-0.000060 	0.000480 	0.000220 	NaN 	NaN 	NaN 	NaN 	NaN 	0.002610 	NaN
17-Jan-1997 	0.000210 	0.000260 	0.000940 	NaN 	NaN 	NaN 	NaN 	NaN 	0.000470 	NaN
24-Jan-1997 	0.000220 	0.000130 	0.001360 	NaN 	NaN 	NaN 	NaN 	NaN 	0.004660 	NaN
31-Jan-1997 	-0.000150 	0.000260 	-0.001530 	NaN 	NaN 	NaN 	NaN 	NaN 	-0.002470 	NaN
07-Feb-1997 	0.000090 	0.000350 	0.000130 	0.000560 	NaN 	NaN 	NaN 	NaN 	0.000280 	NaN
14-Feb-1997 	0.000650 	0.001130 	0.001340 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.001410 	NaN
21-Feb-1997 	0.000080 	-0.000250 	0.000270 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.006920 	NaN
28-Feb-1997 	0.001070 	0.001110 	0.001030 	0.001760 	NaN 	NaN 	NaN 	NaN 	0.007470 	NaN
07-Mar-1997 	0.000680 	0.001110 	-0.000450 	0.002320 	NaN 	NaN 	NaN 	NaN 	-0.001210 	NaN
14-Mar-1997 	-0.000310 	-0.000200 	-0.000700 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.003770 	NaN
21-Mar-1997 	0.000210 	0.000010 	-0.000640 	0.000000 	NaN 	NaN 	NaN 	NaN 	-0.001360 	NaN
27-Mar-1997 	0.000350 	0.000240 	0.000200 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.001170 	NaN
04-Apr-1997 	-0.000540 	-0.000860 	-0.000710 	0.001280 	NaN 	NaN 	NaN 	NaN 	-0.009700 	NaN
11-Apr-1997 	0.000210 	0.000210 	0.000900 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.002840 	NaN
18-Apr-1997 	-0.000120 	0.000080 	0.000590 	0.000000 	NaN 	NaN 	NaN 	NaN 	-0.000930 	NaN
25-Apr-1997 	0.000360 	0.000230 	0.000090 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.006790 	NaN
02-May-1997 	-0.000740 	-0.000840 	-0.000500 	-0.005260 	NaN 	NaN 	NaN 	NaN 	-0.004170 	NaN
09-May-1997 	0.000230 	0.000200 	0.000420 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.004310 	NaN
16-May-1997 	0.000180 	-0.000100 	-0.000060 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.005930 	NaN
23-May-1997 	-0.000340 	-0.000240 	-0.000740 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.002800 	NaN
30-May-1997 	-0.000210 	-0.000290 	-0.001250 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.000120 	NaN
06-Jun-1997 	0.000650 	0.001220 	-0.000260 	-0.001730 	NaN 	NaN 	NaN 	NaN 	0.001440 	NaN
13-Jun-1997 	0.000720 	0.000930 	0.001070 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.003850 	NaN
20-Jun-1997 	0.000300 	0.000380 	0.000440 	0.000000 	NaN 	NaN 	NaN 	NaN 	-0.000800 	NaN
27-Jun-1997 	-0.000110 	-0.000330 	0.000460 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.000450 	NaN
03-Jul-1997 	-0.000120 	0.000160 	0.002710 	0.003490 	NaN 	NaN 	NaN 	NaN 	-0.003590 	NaN
11-Jul-1997 	0.001080 	0.001100 	-0.001230 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.003090 	NaN
18-Jul-1997 	0.000110 	0.000190 	-0.000380 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.004110 	NaN
25-Jul-1997 	0.000380 	0.000490 	0.000330 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.000880 	NaN
01-Aug-1997 	0.000200 	-0.000180 	0.000060 	-0.000500 	NaN 	NaN 	NaN 	NaN 	0.002360 	NaN
08-Aug-1997 	-0.000050 	0.000210 	-0.000430 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.003860 	NaN
15-Aug-1997 	-0.000400 	-0.000390 	-0.000710 	0.000000 	NaN 	NaN 	NaN 	NaN 	-0.002470 	NaN
22-Aug-1997 	0.000090 	-0.000220 	0.000760 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.002890 	NaN
29-Aug-1997 	-0.000090 	0.000200 	-0.000860 	0.000000 	NaN 	NaN 	NaN 	NaN 	-0.000340 	NaN
05-Sep-1997 	-0.000040 	0.000030 	0.000470 	0.000000 	NaN 	NaN 	NaN 	NaN 	-0.007710 	NaN
12-Sep-1997 	-0.000170 	-0.000210 	-0.000310 	0.000000 	NaN 	NaN 	NaN 	NaN 	0.000040 	NaN
