TOWEEKLY: credMVFullIdx
dates 	IGWDAAA 	IGWDAA 	IGWDA 	IGWDBBB 	IGUSDAAA 	IGUSDAA 	IGUSDA 	IGUSDBBB 	IGGBPAAA 	IGGBPAA 	IGGBPA 	IGGBPBBB 	IGEURAAA 	IGEURAA 	IGEURA 	IGEURBBB 	IGShortUSDAAA 	IGShortUSDAA 	IGShortUSDA 	IGShortUSDBBB 	IGShortGBPAAA 	IGShortGBPAA 	IGShortGBPA 	IGShortGBPBBB 	IGShortEURAAA 	IGShortEURAA 	IGShortEURA 	IGShortEURBBB 	HYWDBB 	HYWDB 	HYWDCCC_C 	HYUSDBB 	HYUSDB 	HYUSDCCC_C 	HYGBPBB 	HYGBPB 	HYGBPCCC_C 	HYEURBB 	HYEURB 	HYEURCCC_C
30-Dec-1988 	NaN 	NaN 	NaN 	NaN 	71042.320000 	129047.648000 	135183.469000 	90248.594000 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN
06-Jan-1989 	NaN 	NaN 	NaN 	NaN 	71042.320000 	129047.648000 	135183.469000 	90248.594000 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN
13-Jan-1989 	NaN 	NaN 	NaN 	NaN 	71042.320000 	129047.648000 	135183.469000 	90248.594000 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN
20-Jan-1989 	NaN 	NaN 	NaN 	NaN 	71042.320000 	129047.648000 	135183.469000 	90248.594000 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN
27-Jan-1989 	NaN 	NaN 	NaN 	NaN 	71042.320000 	129047.648000 	135183.469000 	90248.594000 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN
03-Feb-1989 	NaN 	NaN 	NaN 	NaN 	72191.266000 	127848.180000 	138359.781000 	95135.859000 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN
10-Feb-1989 	NaN 	NaN 	NaN 	NaN 	72191.266000 	127848.180000 	138359.781000 	95135.859000 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN
17-Feb-1989 	NaN 	NaN 	NaN 	NaN 	72191.266000 	127848.180000 	138359.781000 	95135.859000 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN
24-Feb-1989 	NaN 	NaN 	NaN 	NaN 	72191.266000 	127848.180000 	138359.781000 	95135.859000 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN
03-Mar-1989 	NaN 	NaN 	NaN 	NaN 	68558.438000 	128914.172000 	137816.531000 	95703.750000 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN 	NaN
